ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	total_tracks
UBERON:0000998	seminal vesicle	tissue			cage	2
UBERON:0001000	vas deferens	tissue			cage	2
UBERON:0001003	skin epidermis	tissue	adult		chip_histone	2
UBERON:0001013	adipose tissue	tissue	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0001043	esophagus	tissue	adult		cage,chip_histone,rna_seq,splice_junctions,splice_site_usage	12
UBERON:0001044	saliva-secreting gland	tissue			cage	2
UBERON:0001052	rectum	tissue			cage	2
UBERON:0001072	posterior vena cava	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0001103	diaphragm	tissue			cage	2
UBERON:0001114	right lobe of liver	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	17
UBERON:0001115	left lobe of liver	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0001134	skeletal muscle tissue	tissue	embryonic		cage,chip_histone,rna_seq,splice_junctions,splice_site_usage	13
UBERON:0001135	smooth muscle tissue	tissue			cage	2
UBERON:0001150	body of pancreas	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	16
UBERON:0001154	vermiform appendix	tissue			cage	2
UBERON:0001155	colon	tissue			cage	2
UBERON:0001157	transverse colon	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	20
UBERON:0001159	sigmoid colon	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	25
UBERON:0001199	mucosa of stomach	tissue	adult		chip_histone	4
UBERON:0001211	Peyer's patch	tissue	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	17
UBERON:0001224	renal pelvis	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0001225	cortex of kidney	tissue	adult	Kidney_Cortex	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0001255	urinary bladder	tissue	child		cage,chip_histone,rna_seq,splice_junctions,splice_site_usage	18
UBERON:0001259	mucosa of urinary bladder	tissue	adult		atac	1
UBERON:0001264	pancreas	tissue	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	20
UBERON:0001285	nephron	organoid	embryonic		chip_tf	1
UBERON:0001293	outer medulla of kidney	tissue	adult	Kidney_Medulla	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0001301	epididymis	tissue			cage	2
UBERON:0001322	sciatic nerve	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0001323	tibial nerve	tissue	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	19
UBERON:0001359	cerebrospinal fluid	tissue			cage	2
UBERON:0001383	muscle of leg	tissue	embryonic		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	13
UBERON:0001389	soleus muscle	tissue			cage	2
UBERON:0001496	ascending aorta	tissue	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	16
UBERON:0001499	muscle of arm	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0001515	thoracic aorta	tissue	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	11
UBERON:0001602	medial rectus extraocular muscle	tissue			cage	2
UBERON:0001603	lateral rectus extra-ocular muscle	tissue			cage	2
UBERON:0001621	coronary artery	tissue	adult	Artery_Coronary	chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	8
UBERON:0001637	artery	tissue			cage	2
UBERON:0001638	vein	tissue			cage	2
